code,term
228143000,Contact sexual abuse of child
23776007,Incestuous child concubinage
242037000,Child abandonment
278707004,Emotional deprivation of child
371775004,Emotional abuse of child
371779005,Physical child abuse
386497007,Child abuse prevention
41358001,Child concubinage
418189009,Child abuse
445272000,Late effect of child abuse
51347003,Incest
70167006,Non-incestuous child concubinage
95922009,Child sex abuse
