code,term
105568001,In prison
160799007,(Has a prison record) or (released from prison) or (imprisonment record)
266944002,Has a prison record
316399003,[V]Imprisonment and other incarceration
398501000000109,[V]Imprisonment and other incarceration
45361006,Imprisonment
