code,term
247644004,Thought echo
247730001,Verbal auditory hallucinations
247731002,Non-verbal auditory hallucinations
247732009,Hallucinations of music
247745008,Dissociative auditory hallucinations
277529000,Second person verbal auditory hallucinations
277533007,Third person verbal auditory hallucinations
285742008,Hears voices laughing at self
285743003,Hallucinations of simple sounds
307079000,Hears mocking voices
45150006,Auditory hallucinations
78595002,Command hallucination
