Dropped feature set
_1003271000000106
_1007921000000107
_1010251000000109
_1019431000000105
_1023491000000104
_1028551000000102
_11429006
_160237006
_160240006
_162701007
_163020007
_163108001
_163120009
_165333005
_165581004
_170205006
_170625000
_182836005
_183544005
_183616001
_18491006
_185202000
_185299002
_196411000000103
_200971000000100
_225358003
_225390008
_225395003
_225908003
_246508008
_24671000000101
_247450001
_24761000000103
_25691000000103
_25781000000108
_266708002
_270425006
_284603006
_285837007
_293401000000105
_302160007
_303350001
_308755006
_309646008
_33962009
_359748005
_363674000
_363812007
_368481000000103
_37331000000100
_37351000000107
_38883000
_394700004
_394830001
_394837003
_395077000
_395085009
_408429008
_413672003
_414887001
_416118004
_439814009
_445916002
_4525004
_515201000000103
_59621000
_717371000000107
_734163000
_749051000000100
_762911000000102
_775661000000106
_777791000000102
_82078001
_82832008
_837701000000109
_86290005
_866661000000106
_88551000000109
_995581000000104
_997671000000106
_1003271000000106
_1007921000000107
_1010251000000109
_1019431000000105
_1023491000000104
_1028551000000102
_11429006
_160237006
_160240006
_162701007
_163020007
_163108001
_163120009
_165333005
_165581004
_170205006
_170625000
_182836005
_183544005
_183616001
_18491006
_185202000
_185299002
_196411000000103
_200971000000100
_225358003
_225390008
_225395003
_225908003
_246508008
_24671000000101
_247450001
_24761000000103
_25691000000103
_25781000000108
_266708002
_270425006
_284603006
_285837007
_293401000000105
_302160007
_303350001
_308755006
_309646008
_33962009
_359748005
_363674000
_363812007
_368481000000103
_37331000000100
_37351000000107
_38883000
_394700004
_394830001
_394837003
_395077000
_395085009
_408429008
_413672003
_414887001
_416118004
_439814009
_445916002
_4525004
_515201000000103
_59621000
_717371000000107
_734163000
_749051000000100
_762911000000102
_775661000000106
_777791000000102
_82078001
_82832008
_837701000000109
_86290005
_866661000000106
_88551000000109
_995581000000104
_997671000000106
_1003271000000106
_1007921000000107
_1010251000000109
_1019431000000105
_1023491000000104
_1028551000000102
_11429006
_160237006
_160240006
_162701007
_163020007
_163108001
_163120009
_165333005
_165581004
_170205006
_170625000
_182836005
_183544005
_183616001
_18491006
_185202000
_185299002
_196411000000103
_200971000000100
_225358003
_225390008
_225395003
_225908003
_246508008
_24671000000101
_247450001
_24761000000103
_25691000000103
_25781000000108
_266708002
_270425006
_284603006
_285837007
_293401000000105
_302160007
_303350001
_308755006
_309646008
_33962009
_359748005
_363674000
_363812007
_368481000000103
_37331000000100
_37351000000107
_38883000
_394700004
_394830001
_394837003
_395077000
_395085009
_408429008
_413672003
_414887001
_416118004
_439814009
_445916002
_4525004
_515201000000103
_59621000
_717371000000107
_734163000
_749051000000100
_762911000000102
_775661000000106
_777791000000102
_82078001
_82832008
_837701000000109
_86290005
_866661000000106
_88551000000109
_995581000000104
_997671000000106
_1003271000000106
_1007921000000107
_1010251000000109
_1019431000000105
_1023491000000104
_1028551000000102
_11429006
_160237006
_160240006
_162701007
_163020007
_163108001
_163120009
_165333005
_165581004
_170205006
_170625000
_182836005
_183544005
_183616001
_18491006
_185202000
_185299002
_196411000000103
_200971000000100
_225358003
_225390008
_225395003
_225908003
_246508008
_24671000000101
_247450001
_24761000000103
_25691000000103
_25781000000108
_266708002
_270425006
_284603006
_285837007
_293401000000105
_302160007
_303350001
_308755006
_309646008
_33962009
_359748005
_363674000
_363812007
_368481000000103
_37331000000100
_37351000000107
_38883000
_394700004
_394830001
_394837003
_395077000
_395085009
_408429008
_413672003
_414887001
_416118004
_439814009
_445916002
_4525004
_515201000000103
_59621000
_717371000000107
_734163000
_749051000000100
_762911000000102
_775661000000106
_777791000000102
_82078001
_82832008
_837701000000109
_86290005
_866661000000106
_88551000000109
_995581000000104
_997671000000106
